name,map_title,area,tip,lat,lng,google_maps_link
Sway Coffee Station,The Softer Side of Seoul: Yeonhui,"61 Yeonhui-ro 11-gil, Seodaemun-gu, Seoul, South Korea","Aussie-inspired neighborhood cafe with a train-station theme, one of Yeonhui's most charming storefronts.",37.5690231,126.9285991,https://maps.google.com/?cid=7793221144182082214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
kkito,Lost in Mangwon-Dong,"16 World Cup-ro 14-gil, Mapo-gu, Seoul, South Korea",Cozy yakitori bar near Mangwon Station—skewers with a cold Asahi draft.,37.5559959,126.9114624,https://maps.google.com/?cid=12951355135042775412&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
ADER ERROR SEONGSU,Inspiration seongsu,"82 Seongsui-ro, Seongdong-gu, Seoul, South Korea",Fashion store that feels like an art installation—Korean brand storytelling at its best.,37.5422211,127.0565311,https://maps.google.com/?cid=9037249081505500256&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Mo-no-ha,Inspiration seongsu,"South Korea, Seoul, Seongdong-gu, Seongsui-ro 20-gil, 16",Calm lifestyle store blending Korean and Japanese minimal aesthetics.,37.543018,127.0583818,https://maps.google.com/?cid=10053289788956073747&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
EPHEMERA,Inspiration seongsu,"10 Yeonmujang 17-gil, Seongdong-gu, Seoul, South Korea","Quiet cafe inside LCDC, perfect for slowing down.",37.5415864,127.0614547,https://maps.google.com/?cid=8337559195580467313&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Insaeng Hanwoo,Korean BBQ - Only #1,"Seongdong-gu, Majang-ro 31-gil, 43, Seoul, South Korea","Top self-grill BBQ in Majang meat market—ask for custom cuts; affordable, great charcoal.",37.57011,127.0381874,https://maps.google.com/?cid=12185189961555578505&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mangwon Hangang River Park, Mapo Nanji Saengmyeong-gil Course 2",Lost in Mangwon-Dong,"465-8 Hapjeong-dong, Mapo-gu, Seoul, South Korea",Skip the riverbank—the quiet forest trails near 465-6 Hapjeong-dong are the hidden gem.,37.5485934,126.9042449,https://maps.app.goo.gl/aR13Q8ZCsks9id4L8
Dalmaji Plaza BBQ,Mimyo’s Everyday Euljiro,"112-1 Eulji-ro, Jung District, Seoul, South Korea","Atmospheric Euljiro BBQ—chicken barbecue and draft beer, best with a group.",37.5658285,126.9904459,https://maps.app.goo.gl/Vxgwxq9hM76QAxz66
Watda Sikdang,Busan with friends,"811 Hana-gil, Yeongdo-gu, Busan, South Korea",Beyond the classic hangover soup—melt-in-your-mouth braised hanwoo beef tendon.,35.094054,129.0563315,https://maps.google.com/?cid=6461792662822096020&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
CHOE MARKET,Lost in Mangwon-Dong,"57-61 Mangwon-dong, Mapo-gu, Seoul, South Korea","Indie gift shop in Mangwon, a treasure trove for stationery and character lovers.",37.5561832,126.908039,https://maps.google.com/?cid=8642299446996327854&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Jinsim,Mimyo’s Everyday Euljiro,"42-1 Pirundae-ro, Nuha-dong, Jongno District, Seoul, South Korea","Clean, comforting pork gukbap at a great price—also works as a solo drinking spot.",37.579819,126.9687947,https://www.google.com/maps/place/Jinsim/data=!3m2!1e3!4b1!4m6!3m5!1s0x357ca3c41b8ebd41:0xb64e87941af0bf1c!8m2!3d37.5625641!4d126.9940721!16s%2Fg%2F11fk1rckfs?entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D
Ramura,Noodle Goodness,"Mapo-gu, Poeun-ro, 21, Seoul, South Korea",Chicken ramen specialists—get the black one.,37.5497522,126.9085877,https://maps.app.goo.gl/matXoR3QwQzUrhWA6?g_st=ic
Ramenba Sikou,Noodle Goodness,"Mapo-gu, Wausan-ro 7-gil, 33, Seoul, South Korea",Best shoyu ramen around—better than most shops in Japan.,37.5473514,126.9210357,https://maps.app.goo.gl/Fv2pJWvPDEgDCE5g7?g_st=ic
